序号,学校名称,招生范围
1,都江堰市奎光小学校,奎光塔街道：奎光塔社区、安青社区、滨河社区、金江社区、奎光路社区
2,都江堰市北街小学校,幸福街道：北街社区、幸福社区、西川社区、彩虹社区
3,都江堰市团结小学校,灌口街道：团结社区、南桥社区、西街社区、柳河社区
4,都江堰市李冰小学校,灌口街道：李冰社区、蒲阳路社区、太平社区
5,都江堰市光明小学校,幸福街道：光明社区、莲花社区、岷江路社区
6,都江堰市塔子坝小学校,幸福街道：塔子坝社区、永安社区、长征社区
7,都江堰市永丰小学校,永丰街道：永丰社区、友爱社区、民丰社区
8,都江堰市幸福小学校,幸福街道：幸福社区、翔凤社区、清城社区
